Date,Food,Offered,Eaten
2014-09-28,Pinky,1,1
2014-10-02,Pinky,2,2
2014-10-06,Pinky,2,1
2014-10-12,Pinky,2,0
2014-10-19,Pinky,2,2
2014-10-26,Pinky,3,3
2014-11-02,Fuzzy,1,1
2014-11-09,Fuzzy,1,1
2014-11-16,Fuzzy,1,1
2014-11-23,Fuzzy,1,1
2014-12-07,Fuzzy,1,1
2014-12-14,Fuzzy,1,1
2015-01-01,Fuzzy,1,1
2015-01-11,Fuzzy,1,1
2015-01-18,Fuzzy,2,2
2015-01-25,Fuzzy,1,1
2015-02-01,Fuzzy,1,0
2015-02-08,Fuzzy,2,2
2015-02-15,Fuzzy,1,1
2015-02-22,Fuzzy,2,2
2015-03-01,Fuzzy,1,0
2015-03-08,Fuzzy,2,2
2015-03-16,Fuzzy,1,1
2015-03-22,Fuzzy,2,2
2015-03-29,Fuzzy,2,2
2015-04-05,Hopper,1,1
2015-04-12,Hopper,1,1
2015-04-19,Hopper,1,1
2015-04-26,Hopper,1,1
2015-05-10,Hopper,1,1
2015-05-17,Hopper,1,1
2015-05-24,Hopper,1,1
2015-05-31,Hopper,1,1
2015-06-07,Hopper,1,1
2015-06-14,Hopper,1,1
2015-06-21,Hopper,1,1
2015-07-05,Weaned Mouse,1,1
2015-07-12,Weaned Mouse,1,1
2015-07-19,Weaned Mouse,1,1
2015-07-26,Weaned Mouse,1,1
2015-08-02,Weaned Mouse,1,1
2015-08-09,Weaned Mouse,1,1
2015-08-16,Weaned Mouse,1,1
2015-08-23,Weaned Mouse,1,1
2015-08-30,Weaned Mouse,1,1
2015-09-06,Weaned Mouse,1,1
2015-10-04,Weaned Mouse,1,1
2015-10-11,Weaned Mouse,1,1
2015-10-18,Weaned Mouse,1,1
2015-10-25,Weaned Mouse,1,1
2015-11-01,Weaned Mouse,1,1
2015-11-11,Weaned Mouse,1,1
2015-11-22,Weaned Mouse,1,1
2015-11-29,Weaned Mouse,1,1
2015-12-06,Weaned Mouse,1,1
2015-12-13,Weaned Mouse,1,1
2015-12-23,Weaned Mouse,1,1
2016-01-03,Weaned Mouse,1,1
2016-01-10,Weaned Mouse,1,1
2016-01-17,Weaned Mouse,1,1
2016-01-24,Weaned Mouse,1,1
2016-02-07,Weaned Mouse,1,1
2016-02-14,Weaned Mouse,1,1
2016-02-21,Weaned Mouse,1,1
2016-02-28,Weaned Mouse,1,1
2016-03-06,Weaned Mouse,1,1
2016-03-13,Weaned Mouse,1,1
2016-03-20,Weaned Mouse,1,1
2016-03-27,Weaned Mouse,1,1
2016-04-03,Weaned Mouse,1,1
2016-04-10,Weaned Mouse,1,1
2016-04-17,Weaned Mouse,1,1
2016-04-24,Weaned Mouse,1,1
2016-05-01,Weaned Mouse,1,1
2016-05-08,Weaned Mouse,1,1
2016-05-15,Weaned Mouse,1,1
2016-05-22,Weaned Mouse,1,1
2016-05-29,Weaned Mouse,1,1
2016-06-05,Weaned Mouse,1,1
2016-06-12,Weaned Mouse,1,1
2016-06-26,Weaned Mouse,1,1
2016-07-03,Weaned Mouse,1,1
2016-07-10,Weaned Mouse,1,1
2016-07-17,Weaned Mouse,1,1
2016-07-31,Weaned Mouse,1,1
2016-08-14,Weaned Mouse,1,1
2016-08-22,Weaned Mouse,1,1
2016-09-10,Weaned Mouse,1,1
2016-09-18,Weaned Mouse,1,1
2016-09-25,Weaned Mouse,1,1
2016-10-09,Weaned Mouse,1,1
