Serial,Blue phase observed,Shed completed
1,2014-10-13,2014-10-17
2,2014-11-16,2014-11-22
3,2014-12-23,2014-12-31
4,2015-01-31,2015-02-05
5,2015-03-01,2015-03-06
6,2015-04-07,2015-04-12
7,2015-05-02,2015-05-07
8,,2015-06-05
9,2015-07-08,2015-07-12
10,2015-08-12,2015-08-15
11,2015-09-12,2015-09-19
12,2015-11-01,2015-11-10
13,2015-12-13,2015-12-23
14,2016-01-27,2016-02-04
15,2016-04-26,2016-05-01
16,2016-06-19,2016-06-23
17,2016-07-24,2016-07-29
18,2016-09-01,2016-09-09
19,2016-11-17,2016-11-24
20,2017-02-02,2017-02-08
21,2017-04-10,2017-04-18
22,2017-06-10,2017-06-15
23,2017-07-15,2017-07-22
24,,2017-09-14
25,,2017-10-14
