Date,Mass in g
2014-10-23,18.3
2014-10-31,19
2014-11-05,22
2014-11-11,22.8
2014-12-02,24
2014-12-09,28.5
2014-12-16,28
2014-12-23,34.2
2015-01-04,32.3
2015-01-13,35.3
2015-01-20,40.4
2015-01-28,36.4
2015-02-08,33.7
2015-02-11,41.3
2015-02-18,43.2
2015-02-25,49.2
2015-03-10,54.7
2015-03-12,50.6
2015-03-19,53.3
2015-03-24,63.3
2015-04-02,65.6
2015-04-16,84
2015-04-23,85.1
2015-05-14,103.3
2015-05-17,97.8
2015-05-26,118.7
2015-06-10,136.7
2015-07-01,154
2015-07-14,176.8
2015-08-19,205.0
2016-01-02,311.1
